Gene	Established_log2.FC.	Established_q_value
Pten	-0.265927	0.50909
Lipk	1.56157	1
Lipn	1.42761	0.102005
Lipm	-0.547914	1
Stambpl1	0.307496	0.50573
Fas	0.893216	0.00254281
Ifit2	0.503243	0.275598
Ifit3	2.20378	0.00139332
I830012O16Rik	1.87847	0.148684
Ifit1	2.73714	0.00139332
Kif20b	-0.508234	0.157746
Rpp30	-0.211076	0.815061
Pcgf5	0.529755	0.389161
Hectd2	0.340021	0.815685
Tnks2	0.156821	0.811162
Btaf1	0.257969	0.605881
March5	0.0389291	0.985426
Kif11	-0.549853	0.0500738
Hhex	0.953774	0.293844
Exoc6	0.829564	0.197261
Cyp26a1	-0.2833	1
Cep55	-0.611799	0.0983438
Pde6c	1.59318	1
Slc35g1	0.443389	0.634488
Plce1	-0.381979	0.359675
Tbc1d12	-0.0226521	0.993849
Hells	-0.0817017	0.95508
Cyp2c55	0.438529	1
Cyp2c65	0	1
Cyp2c66	0	1
Cyp2c53-ps	0	1
Cyp2c39	0	1
Cyp2c37	0	1
Cyp2c50	0	1
Entpd1	0.794138	0.677401
Ccnj	0.0831758	0.979033
Zfp518a	-0.237763	0.734424
Lcor	0.253046	0.664367
Frat1	-0.45543	1
Pgam1	0.174332	0.800791
Zdhhc16	-0.150036	0.933797
Ubtd1	0.228523	0.687628
Ankrd2	-0.146973	1
Pi4k2a	0.334794	0.359954
Marveld1	-0.150882	0.827535
Zfyve27	0.178625	0.832868
Golga7b	1.36156	1
R3hcc1l	-0.0735133	0.967999
Cnnm1	0.665384	1
Nkx2-3	0	1
Entpd7	0.076674	0.978918
Cutc	-0.499707	0.547676
Scd3	-1.60883	1
Scd4	0.10347	1
Hif1an	0.0125733	0.995109
Fam178a	0.342188	0.413872
Sema4g	0.203715	0.882973
Peo1	0.0808247	0.963013
Lzts2	-0.121971	0.889375
Sfxn3	0.0999243	0.916717
Kazald1	-1.1137	0.0604815
Btrc	-0.0598345	0.979271
Dpcd	-0.108821	0.962685
Hps6	-0.189829	0.846492
Elovl3	-0.195775	1
Gbf1	-0.0867602	0.931066
Nfkb2	0.80639	0.00364343
Fbxl15	-0.245587	0.967999
Tmem180	-0.780296	0.328792
Mir146b	0	1
Trim8	0.684823	0.00713772
Sfxn2	-0.159032	0.893112
Wbp1l	0.127451	0.868204
2010012O05Rik	-0.0462505	0.984602
As3mt	-0.600455	0.431079
Cnnm2	-0.715838	0.206985
Ina	0.316147	1
Taf5	-0.152541	0.979033
Pdcd11	0.124451	0.881743
Neurl1a	-0.495196	0.420125
Slk	0.17099	0.782651
Sfr1	0.0482634	0.97521
Gsto1	0.3817	0.244844
Gsto2	-0.496223	0.787159
Sorcs3	-1.82106	1
Ins1	0	1
Add3	0.151803	0.853759
Mxi1	0.258485	0.681538
Dusp5	1.8855	0.00139332
Smc3	-0.000994145	0.998522
Rbm20	0.658027	0.448295
Pdcd4	-0.493984	0.618058
Shoc2	0.0539172	0.979033
Adra2a	-0.44246	0.187665
Acsl5	0.105765	0.913095
Vti1a	-0.104648	0.93516
Tcf7l2	0.0582293	0.973963
Casp7	-0.158814	0.901761
Plekhs1	1.14589	1
Nhlrc2	0.0455589	0.986843
Tdrd1	1.08973	1
Fam160b1	0.124466	0.884622
Trub1	-0.111727	0.944255
Atrnl1	0.0322541	0.988963
Ccdc172	0	1
1810007D17Rik	0	1
1810018F18Rik	0	1
Pnliprp2	-0.05284	1
Eno4	0.00906033	1
Slc18a2	0.48609	0.939493
Emx2	0.386176	0.535775
Nanos1	-0.137048	0.95405
Fam45a	0.016055	0.994546
Grk5	0.499601	0.113477
Ighmbp2	-0.000220077	0.999869
Gal	-0.251539	1
Ppp6r3	0.0494692	0.975648
Lrp5	0.403886	0.195532
Tcirg1	0.429958	0.186931
Ndufs8	-0.0233695	0.992015
Aldh3b1	-0.126584	0.918643
Ndufv1	-0.164159	0.797234
Gstp1	-0.186529	0.750243
Gstp2	-0.886673	0.962039
Aip	-0.131903	0.910475
Cabp4	0.811833	1
Rps6kb2	-0.139434	0.917976
Carns1	-0.299113	0.801132
Tbc1d10c	-0.0729739	0.995451
Rad9a	-0.0116745	0.997725
Ssh3	-0.29659	0.538187
Ankrd13d	0.44322	0.677401
Adrbk1	0.21657	0.670274
Syt12	-0.369344	0.905681
Lrfn4	-0.15353	0.934752
Rce1	-0.225549	0.765353
Ccs	-0.136079	0.891665
Actn3	0.425285	0.595106
Bbs1	-0.310347	0.724988
Dpp3	-0.0277429	0.989326
Peli3	0.147933	0.960536
Npas4	1.34599	0.154225
Tmem151a	-1.05924	0.096095
Cnih2	0.197907	0.987882
Rab1b	-0.048676	0.97521
Klc2	-0.0838723	0.960536
Pacs1	0.389913	0.312142
Sf3b2	-0.017689	0.993716
Cst6	1.50741	1
Banf1	-0.221097	0.660309
Sart1	0.0650447	0.964051
Drap1	-0.149972	0.836281
Ccdc85b	0.288193	0.574044
Ctsw	-0.422736	0.838795
Mus81	0.371633	0.566956
Snx32	-0.10641	0.964051
1700020D05Rik	-0.0126698	0.994522
Kat5	-0.0312486	0.990555
Sipa1	0.318558	0.574145
Pcnxl3	0.12016	0.932811
Ehbp1l1	0.663003	0.00364343
Scyl1	0.166347	0.952957
Malat1	0.329762	0.390386
Neat1	-0.417981	0.209809
Frmd8	0.321117	0.45215
Tigd3	0.634027	0.667618
Pola2	-0.28978	0.680811
Capn1	0.0244172	0.992001
Mrpl49	-0.135159	0.951239
Zfpl1	-0.151314	0.908709
Sac3d1	-0.175792	0.871886
Snx15	-0.333538	0.5396
Arl2	-0.367402	0.391606
Ppp2r5b	0.132065	0.887236
Slc22a12	0	1
Ccdc88b	0.866376	0.219791
Prdx5	-0.0838581	0.955363
Esrra	0.109685	0.984602
Gpr137	-0.225552	0.850577
Plcb3	0.135245	0.854733
Fkbp2	-0.404749	0.394957
Vegfb	0.069132	0.978613
Fermt3	0.806794	0.453187
Stip1	0.0759434	0.943439
Flrt1	0.97257	0.247027
Otub1	0.0836652	0.937028
Cox8a	-0.106984	0.899671
Naa40	0.164356	0.848541
Rtn3	0.166343	0.823678
Lgals12	-1.55926	1
Slc22a19	0	1
Slc22a27	0	1
Slc22a28	0	1
Slc22a30	0	1
Slc3a2	-0.0243358	0.992015
Polr2g	-0.00568061	0.997647
Ttc9c	-0.253661	0.919529
Gng3	0.176096	1
AI462493	-0.257077	0.759752
Rom1	-0.337108	0.704163
Asrgl1	-0.410026	0.474624
Incenp	-0.428119	0.178954
Best1	-0.507829	0.576683
Fads2	-0.0625856	0.963912
Fen1	-0.143429	0.883334
Myrf	0.0395514	0.992001
Lrrc10b	-0.326996	1
Ppp1r32	0.776942	1
Sdhaf2	-0.0794598	0.951333
Tmem216	-0.293785	0.737051
Tmem138	-0.107103	0.972169
Dak	-0.271882	0.679999
Pga5	0	1
Cd5	0.875874	1
Tmem132a	0.189895	0.776116
Tmem109	-0.291665	0.442505
Ccdc86	0.35933	0.391466
Ms4a8a	0	1
1700017D01Rik	0	1
1700025F22Rik	0	1
Ms4a13	0	1
Ms4a1	0	1
Ms4a5	0	1
Ms4a7	1.15702	0.00713772
Ms4a6d	1.72503	0.00139332
Ms4a3	0	1
Oosp1	0	1
Stx3	0.696287	0.0636904
Olfr1418	0	1
Olfr1419	0	1
Olfr1423	0	1
Olfr1424	0	1
Olfr1425	0	1
Olfr1426	0	1
Olfr1427	0	1
Olfr1428	0	1
Olfr76	0	1
Olfr262	0	1
Olfr1436	0	1
Olfr1437	0	1
Dtx4	1.06952	0.00139332
A330040F15Rik	0.454741	1
Olfr1446	0	1
Olfr1447	0	1
Olfr1448	0	1
Olfr1453	0	1
Olfr1457	0	1
Olfr1459	0	1
Olfr1465	0	1
Olfr1472	0	1
Olfr1475	0	1
Olfr1497	0	1
Olfr1499	0	1
Olfr1500	0	1
Olfr1501	0	1
Olfr1504	0	1
Tle4	1.3433	0.00254281
Psat1	0.055855	0.967999
Cep78	-0.280488	0.716942
Vps13a	0.262637	0.778951
Foxb2	0	1
Gcnt1	-0.158967	0.929489
Pcsk5	-1.82196	0.00139332
Ostf1	-0.121184	0.876692
Rorb	0.597002	1
Anxa1	0.259322	0.544696
Aldh1a7	-0.60619	1
Gda	0.242103	0.722449
1110059E24Rik	-0.148403	0.881332
Smc5	-0.0157677	0.994262
Mamdc2	-0.299742	0.791425
Fam189a2	-0.583924	0.698378
Tjp2	0.506248	0.274325
Fxn	0.284781	0.799798
Pip5k1b	0.530518	0.904566
Fam122a	-0.240517	0.813172
Pgm5	-0.378012	1
Cbwd1	-0.0590704	0.979033
D19Bwg1357e	0.0967756	0.927474
Rfx3	-0.3399	0.718001
Glis3	-0.416984	0.180616
4430402I18Rik	0.27585	0.988963
Ak3	-0.0310543	0.987203
Insl6	0.531951	0.618223
Rln1	-1.52319	1
Plgrkt	-0.157763	0.862262
A930007I19Rik	-0.355873	0.847879
Ermp1	0.120619	0.899989
9930021J03Rik	0.146355	0.870944
Ranbp6	-0.349833	0.550044
Gldc	-1.63055	0.0962902
Ppp1r2-ps3	1.39348	1
Dkk1	-1.29325	1
Prkg1	0.238771	0.919446
8430431K14Rik	1.5899	1
Asah2	0.119546	0.913504
Sgms1	0.70625	0.0172429
Atad1	-0.0338121	0.983943
Rnls	-0.0403614	0.993051
Lipo1	-0.0332838	0.989326
Acta2	0.393416	0.545772
Ch25h	3.07973	0.00139332
Lipa	0.251374	0.544756
Slc16a12	0.365289	1
Pank1	-0.216401	0.877185
Mir107	0	1
Htr7	-1.51701	0.0103957
Ankrd1	1.34754	0.00546107
1500017E21Rik	0.366752	0.861919
Ppp1r3c	-1.91798	0.00139332
Fgfbp3	-0.223378	0.99069
Cpeb3	0.286321	0.791177
Ide	0.00177761	0.998062
Myof	0.261868	0.53844
Rbp4	-1.44702	0.00139332
Fra10ac1	-0.117281	0.94662
Noc3l	0.181017	0.801801
Cyp2c38	0	1
Cyp2c67	0	1
Cyp2c68	0	1
Cyp2c40	0	1
Cyp2c69	0	1
Cyp2c70	0	1
Pdlim1	0.71558	0.00254281
Sorbs1	0.386705	0.303781
Aldh18a1	-0.113507	0.912834
Tctn3	-0.188073	0.861919
Blnk	1.0276	0.0704571
Opalin	0	1
Tm9sf3	0.11349	0.895112
Pik3ap1	0.933931	0.0111593
Slit1	0.424582	1
Arhgap19	-0.418975	0.482372
Frat2	-0.209204	0.937028
Rrp12	0.167296	0.847879
Exosc1	-0.0973239	0.948461
Mms19	-0.0584116	0.978125
Morn4	0.0826311	0.967999
Avpi1	-0.0765314	0.962685
Sfrp5	1.66637	1
Mir3085	0	1
Crtac1	0.24861	1
Loxl4	-0.181593	0.778456
Pyroxd2	-0.606557	0.242024
Hps1	-0.311509	0.558912
Hpse2	2.2846	1
Got1	0.19914	0.727579
Cox15	0.0269418	0.992349
Dnmbp	0.0659939	0.967999
Cyp2c44	-0.528713	0.737632
Erlin1	-0.111723	0.907182
Chuk	0.36704	0.293503
Cwf19l1	-0.147452	0.915155
Scd1	-0.545448	0.0278615
Sec31b	-0.137179	0.970754
Ndufb8	-0.0342885	0.984602
Mrpl43	-0.205199	0.770537
Pdzd7	-0.206968	0.992001
Poll	-0.452828	0.411398
Fbxw4	-0.114299	0.960909
Npm3	-0.13458	0.879279
Mgea5	0.306278	0.409022
Kcnip2	2.52207	1
9130011E15Rik	-0.0767843	0.962339
Ldb1	-0.100903	0.919529
Psd	0.681249	0.868695
Cuedc2	-0.078188	0.95458
Actr1a	-0.0469625	0.974368
Arl3	-0.205466	0.772016
Nt5c2	0.149071	0.934733
Pcgf6	-0.231306	0.815061
Usmg5	-0.0432308	0.979907
Calhm2	-0.256502	0.703097
Sh3pxd2a	0.234195	0.608419
Obfc1	-0.15587	0.920439
Col17a1	-0.303535	0.912427
Wdr96	-0.144302	0.959838
Itprip	0.923846	0.00139332
Sorcs1	2.26087	0.00457135
Xpnpep1	0.182331	0.742267
1700001K23Rik	0	1
Smndc1	0.0887117	0.937028
Bbip1	0.086495	0.987886
Gpam	-0.259336	0.598026
Zdhhc6	-0.270492	0.53695
Nrap	-0.260227	1
Dclre1a	-0.274662	0.859987
Afap1l2	0.726602	0.172741
Ablim1	0.910741	0.00139332
Gfra1	-0.891256	0.00956169
Hspa12a	0.940914	0.0316133
Mir3086	0	1
4930506M07Rik	0.718475	0.196176
Vax1	0	1
Pdzd8	0.138224	0.859325
Emx2os	0.313356	0.771766
Rab11fip2	-0.214294	0.790843
Cacul1	0.570393	0.0340712
Sfxn4	-0.311071	0.902419
Prdx3	-0.285975	0.479828
Gm7102	0.695088	0.599629
Csf2ra	0.444822	0.416416
Nmt2	0.413607	0.49702
Dclre1c	0.0957337	0.963416
Cdnf	-0.794377	0.155143
Fam107b	0.598693	0.0305485
Frmd4a	0.570585	0.0221779
Bend7	0.69671	1
Sephs1	-0.201517	0.720496
Phyh	-0.407295	0.252809
Ucma	0.60777	0.77899
Ccdc3	1.33393	0.0384425
Nudt5	-0.2223	0.868956
Upf2	0.192147	0.779895
Gm10857	0	1
Usp6nl	0.257565	0.676422
Kin	0.176491	0.875934
Itih5	-0.0884945	0.974017
Sfmbt2	-0.279947	0.785125
Mir669e	0	1
Mir669b	0	1
Mir669a-3	0	1
Mir669k	0	1
Mir669g	0	1
Mir669j	0	1
Mir467a-5	0	1
Mir467b	0	1
Mir467a-10	0	1
Mir467a-8	0	1
Mir467a-3	0	1
Mir467a-4	0	1
Mir467a-6	0	1
Mir669a-1	0	1
Mir467d	0	1
Mir466	0	1
Mir669c	0	1
Mir669a-2	0	1
Mir297b	0	1
Mir669m-2	0	1
Mir466g	0	1
Mir297a-3	0	1
Mir669i	0	1
Mir669h	0	1
Prkcq	0.277514	1
Il15ra	0.774431	0.139933
Ankrd16	0.202455	0.85889
Pter	-0.0618431	0.986004
Vim	-0.123258	0.937028
Stam	0.20978	0.729952
Tmem236	1.01625	1
Mrc1	1.28518	0.0139991
Mir511	0	1
Slc39a12	1.32931	1
Cacnb2	0.447695	0.620879
Arl5b	0.56492	0.121236
Plxdc2	0.288048	0.439195
Gm17762	-0.349221	0.915927
Commd3	-0.187117	0.745871
Bmi1	-0.203067	0.707249
BC061194	-0.340563	1
4930426L09Rik	1.09825	0.0880734
Msrb2	0.139007	0.937028
Ptf1a	0	1
Otud1	0.814285	0.0511872
Etl4	0.500792	0.380911
Gm13375	0.0248441	0.997725
Thnsl1	0.0430286	0.99069
Gpr158	0.715734	1
Gad2	-0.513657	1
Apbb1ip	0.538103	0.0446617
Pdss1	0.130116	0.992001
Acbd5	0.0944679	0.929695
Yme1l1	0.0441278	0.979033
Il1f8	0	1
Il1f9	0.324375	0.864983
Il1rn	-2.14034	0.00139332
Psd4	-0.779305	0.020323
Pnpla7	0.235617	0.778456
Nsmf	-0.029609	0.990555
Nrarp	-0.874265	1
Fam166a	-1.9508	1
Rnf208	0.13694	1
Tmem203	-0.24216	0.833353
Tprn	0.025664	0.99394
Anapc2	-0.041998	0.979033
Tmem210	0	1
Man1b1	-0.0314699	0.985676
Sapcd2	-0.630326	0.482282
Entpd2	-0.32243	0.733709
Npdc1	-0.237307	0.612749
Fut7	0.679022	1
Abca2	0.463666	0.261237
Mir3087	0	1
Clic3	0.415639	0.931499
Fbxw5	0.00701004	0.996918
Edf1	0.143883	0.844065
Lcn8	0	1
Lcn5	0	1
Lcn6	0	1
Lcn10	0	1
Obp2a	0	1
Bmyc	-0.24958	0.801689
Obp2b	0	1
Lcn3	0	1
Lcn11	0	1
Lcn9	0	1
Gpsm1	0.191631	0.865156
Pmpca	0.0651696	0.971457
Egfl7	-0.45784	0.571691
Fam69b	-0.221327	0.824064
Rpl7a	-0.179398	0.779895
Surf2	-0.0897396	0.994961
Cacfd1	-0.049633	0.979033
Adamtsl2	-0.277867	1
Rxra	-0.635123	0.0088339
Col5a1	0	1
Olfm1	0.131596	0.911985
Ppp1r26	-0.569849	0.423922
Mrps2	-0.180042	0.791544
Gbgt1	0.713559	0.255591
Ralgds	0.0553945	0.975498
Tsc1	0.322166	0.518033
Ak8	0.251487	1
Mir3088	0	1
Ddx31	0.0949886	0.956114
Ttf1	-0.23297	0.762785
Setx	0.0669185	0.96075
Med27	0.00437965	0.997725
Rapgef1	0.410821	0.210054
Gm13547	0.418787	1
Coq4	-0.0732628	0.978858
Slc27a4	0.136128	0.86123
Urm1	-0.0926281	0.939306
Cercam	-0.247062	0.580147
Odf2	-0.237862	0.642988
Gle1	-0.295333	0.498548
Sptan1	0.420738	0.1539
Set	-0.0409435	0.979116
Pkn3	-0.258832	0.926106
Tbc1d13	0.176062	0.802036
Endog	-0.269505	0.962339
Lrrc8a	0.37255	0.37481
Nup188	-0.151012	0.822777
Fam73b	0.12632	0.910095
Dolpp1	-0.231098	0.894386
Ppp2r4	-0.142356	0.836184
Cstad	-0.733268	0.547676
Mir3089	0	1
Ntmt1	-0.0161833	0.994961
Prrx2	-0.444432	0.1239
Tor1b	0.00699631	0.996211
Usp20	0.228876	0.785137
Gpr107	0.0305074	0.986843
Ncs1	0.237224	0.605923
Ass1	1.61081	0.00139332
Fubp3	0.215708	0.677401
Exosc2	0.00545664	0.997725
Abl1	0.613184	0.0088339
Lamc3	-1.51317	0.0636904
Aif1l	1.19786	0.0365415
Nup214	-0.0222635	0.992015
Ppapdc3	-0.214997	0.885095
Prrc2b	0.178305	0.750737
Pomt1	-0.280656	0.733283
Golga2	0.142731	0.84497
Mir199b	0	1
Ciz1	-0.0222815	0.992015
Ptges2	-0.278098	0.681088
Naif1	-0.174105	0.940487
Fam102a	0.510551	0.189342
Dpm2	-0.0973843	0.937028
Pip5kl1	-0.277781	1
Ak1	-0.215529	0.654857
Eng	0.0031075	0.997917
Sh2d3c	0.477631	0.677401
Tor2a	-0.254405	0.658129
Ptrh1	0.147912	0.896226
Fam129b	0.230168	0.681538
Rpl12	-0.171949	0.804364
Snora65	2.70873	0.740398
Angptl2	-0.0441996	0.979033
Mapkap1	-0.0665322	0.962685
Hspa5	0.209509	0.756621
Gsn	0.4146	0.206044
Dab2ip	0.422086	0.178196
Morn5	-0.900339	0.704163
Mrrf	-0.187237	0.928208
Ptgs1	0.340152	0.497403
Olfr338	0	1
Olfr339	0	1
Olfr340	0	1
Olfr342	0	1
Olfr344	0	1
Olfr345	0	1
Olfr346	0	1
Olfr347	0	1
Olfr348	0	1
Olfr50	0	1
Olfr350	0	1
Olfr352	0	1
Olfr354	0	1
Olfr356	0	1
Olfr357	0	1
Olfr360	0	1
Olfr365	0	1
Olfr366	0	1
Olfr367-ps	0	1
Olfr368	0	1
Rabgap1	0.174177	0.774126
Gpr21	0.978176	1
Crb2	0.689995	1
Lhx2	-1.06263	0.110231
Nek6	-0.520785	0.0405267
Mir181a-2	0	1
Mir181b-2	0	1
Olfml2a	0.494528	0.343413
Arpc5l	-0.0784787	0.95458
Arhgap15	0.493251	1
Acvr2a	-0.562004	0.12542
Mbd5	0.0974361	0.93339
Epc2	0.203275	0.74518
Kif5c	-0.344255	0.670493
Lypd6b	-1.32459	1
Lypd6	0.858464	1
Gm13498	2.08573	1
Tas2r134	0	1
Tnfaip6	-0.714502	0.0412792
Rif1	-0.0999862	0.937028
Fmnl2	-0.0773931	0.95458
Arl6ip6	-0.0662846	0.970485
Galnt13	-0.748346	0.0533954
Gpd2	0.31935	0.491411
Galnt5	-0.400128	0.789621
Upp2	1.54957	1
Pkp4	-0.329065	0.451064
Tanc1	0.0946525	0.932811
March7	0.451337	0.202541
Tank	0.808253	0.00139332
Psmd14	0.0872517	0.931818
Tbr1	0.00439183	1
Slc4a10	0.835306	1
Gca	0.00408564	0.997727
Scn2a1	-0.335566	0.844065
Csrnp3	-1.13833	1
Gm13629	0	1
Gm1322	0	1
Xirp2	0.652951	1
B3galt1	-0.386179	0.732368
4933409G03Rik	0	1
4932414N04Rik	0	1
Cers6	0.642806	0.00631591
Nostrin	0.935047	0.28225
Dhrs9	0.738252	0.0704571
Bbs5	-0.0093631	0.996918
Klhl41	0.167	0.962369
Ppig	0.098283	0.92303
Phospho2	-0.124952	0.913095
Klhl23	-0.322509	0.680788
Ssb	0.0928188	0.92412
Ubr3	0.0987629	0.92412
Erich2	0.825472	1
Gorasp2	0.116876	0.88319
Dcaf17	-0.0423276	0.990953
Cybrd1	-0.735762	0.317026
Dync1i2	0.0750527	0.949503
Hat1	-0.410551	0.251605
Metap1d	-0.23666	0.779758
Dlx1	-0.432273	0.881889
Itga6	0.883112	0.00713772
Pdk1	0.286003	0.451064
Rapgef4	0.157793	0.962339
Cdca7	-0.393591	0.551561
Sp9	0.0346542	1
Scrn3	-0.429853	0.496866
Hoxd13	-0.26838	0.503951
Hoxd12	-0.235131	0.849882
Mtx2	0.0242829	0.992001
Agps	0.0410507	0.979033
Rbm45	-0.033776	0.987882
Osbpl6	-1.00181	0.0263428
Dfnb59	-0.803529	1
Plekha3	0.129235	0.881889
Ube2e3	-0.0831534	0.939861
Itga4	0.852476	0.043602
Ssfa2	-0.128079	0.880374
Dnajc10	0.135374	0.862583
Zfp804a	1.48461	1
Zc3h15	0.193767	0.722463
Itgav	0.591479	0.0111593
Fam171b	0.205172	0.813172
Med19	-0.0315942	0.995582
Ypel4	-0.642981	0.804491
Ube2l6	0.828209	0.00364343
Timm10	0.130055	0.934733
Slc43a1	-0.127303	0.946859
Slc43a3	-0.0564201	0.971737
Prg2	1.80155	1
Prg3	0	1
Ssrp1	-0.196018	0.701346
Tnks1bp1	0.475827	0.115091
Aplnr	-0.899373	1
Olfr996	0	1
Olfr998	0	1
Olfr1008	0	1
Olfr1009	0	1
Olfr1010	0	1
Olfr1013	0	1
Olfr1014	0	1
Olfr1015	0	1
Olfr1018	0	1
Olfr1020	0	1
Olfr1022	0	1
Olfr1023	0	1
Olfr1026	0	1
Olfr1028	0	1
Olfr1029	0	1
Olfr1030	0	1
Olfr1031	0	1
Olfr1032	0	1
Olfr1033	1.52182	1
Olfr1036	0	1
Olfr1038-ps	0	1
Olfr1052	0	1
Olfr1076	0	1
Olfr1093	0	1
Olfr1094	0	1
Olfr1102	0	1
Olfr1112	0	1
Olfr1113	0	1
Olfr1115	0	1
Olfr1116-ps	0	1
Olfr1118	0	1
Olfr1120	0	1
Olfr1121	0	1
Olfr1122	0	1
Olfr1123	0	1
Olfr1124	0	1
Olfr1126	0	1
Pramel6	0	1
Olfr153	0	1
Olfr1129	0	1
Olfr1130	0	1
Olfr1131	0	1
Olfr1140	0	1
Olfr152	0	1
Olfr1143	0	1
Olfr1145	0	1
Olfr1148	0	1
Olfr1151	0	1
Olfr1152	0	1
Olfr1153	0	1
Olfr1158	0	1
Olfr1161	0	1
Olfr1168	0	1
Olfr1176	0	1
Olfr1178	0	1
Olfr1183	0	1
Olfr1184	0	1
Olfr1186	0	1
Olfr1188	0	1
Olfr1189	0	1
Olfr1193	0	1
Olfr1201	0	1
Olfr1202	0	1
Olfr1205	0	1
Olfr1204	0	1
Olfr1206	0	1
Olfr1212	0	1
Olfr1255	0	1
Olfr1257	0	1
Olfr1260	0.207135	1
Olfr1262	0	1
Olfr1263	0	1
Olfr1265	0	1
Olfr1274-ps	0	1
Nup160	-0.116974	0.899671
Fnbp4	0.289334	0.53652
Agbl2	-0.18709	0.927924
Mtch2	-0.0338155	0.983495
C1qtnf4	-1.70607	0.0814706
Kbtbd4	-0.112675	0.932811
Celf1	0.129532	0.875608
Rapsn	0.236846	1
Psmc3	-0.135611	0.850577
Acp2	-0.00791834	0.996124
A330069E16Rik	-0.833308	0.528357
Pacsin3	-0.51739	0.205176
Arfgap2	-0.092513	0.929749
Lrp4	-0.672189	0.0227291
Ckap5	-0.23007	0.604724
Snord67	0	1
Arhgap1	0.167267	0.780277
Harbi1	-0.573602	0.313696
Ambra1	0.122681	0.913095
Chrm4	0.394378	1
Phf21a	-0.120427	0.900986
Mir1955	0	1
Pex16	0.0832337	0.992653
Chst1	0.574943	0.298094
Syt13	0.115996	0.966228
Trp53i11	0.404929	0.766482
Alx4	-1.85701	1
2810002D19Rik	-0.0395497	0.992015
Lrrc4c	0.117846	0.942111
Rag2	0.837535	1
Traf6	0.195287	0.787884
Commd9	-0.0716625	0.966132
Pamr1	1.62825	0.00139332
Slc1a2	-0.405371	1
Apip	-0.258684	0.724988
Abtb2	1.10504	0.0233562
Lmo2	1.07821	0.131187
Fbxo3	-0.0590525	0.97521
Cd59b	-0.140362	0.975498
Cd59a	0.231594	0.709494
A930018P22Rik	-2.34161	1
Cstf3	0.207555	0.757264
Ccdc73	-0.384275	1
Wt1	-2.54159	0.00139332
Pax6	-0.893021	1
Immp1l	-0.17608	0.884953
Mpped2	-0.356747	0.815685
Kcna4	1.68791	0.0305485
Kif18a	-0.554337	0.26057
Bdnf	0.653324	0.0491698
Lin7c	0.397261	0.20896
Lgr4	-0.507757	0.0708025
Ccdc34	-0.763004	0.0239764
Slc5a12	1.23641	1
Olfr1276	0	1
Olfr1278	0	1
Olfr1279	0	1
Olfr1280	0	1
Olfr1281	0	1
Olfr1283	0	1
Olfr1287	0	1
Olfr1288	0	1
Olfr1289	0	1
Olfr1299	0	1
Olfr1300-ps1	0	1
Olfr1301	0	1
Olfr1302	0	1
Olfr1317	2.17294	1
Olfr1318	1.31805	0.572388
Lpcat4	0.196848	0.812116
Nop10	-0.38794	0.319293
Slc12a6	0.221766	0.836665
Katnbl1	0.493973	0.179081
Emc7	-0.0184518	0.993051
Aven	0.194571	0.859162
Tmco5b	0	1
Fmn1	0.300765	0.463003
A530058N18Rik	0	1
BC052040	-0.236851	0.85889
Mir1951	0	1
Tmco5	0	1
Spred1	0.144374	0.852703
Mir674	0	1
Fam98b	-0.00463892	0.997725
Thbs1	0	1
Eif2ak4	0.229364	0.806661
Bub1b	-0.58566	0.0375156
Pak6	-0.94844	1
5430417L22Rik	-0.0817414	0.962685
Phgr1	0	1
Disp2	0.635253	1
Knstrn	-0.797748	0.0134126
Ivd	-0.289335	0.589254
Bahd1	0.0561514	0.974755
Chst14	-0.131466	0.874466
Rpusd2	-0.0699315	0.980441
Casc5	-0.594096	0.0785149
Rad51	-0.524006	0.183691
Gchfr	0.186577	0.950085
Gm14137	0.0495233	1
Zfyve19	-0.300627	0.778003
Spint1	0.789252	0.576136
Vps18	0.328627	0.418724
Dll4	-1.3365	1
Chac1	0.10017	0.930704
Chp1	-0.00171877	0.998081
1700020I14Rik	-0.226509	0.763937
Nusap1	-0.80082	0.00457135
Rtf1	0.0720315	0.95508
Itpka	1.13398	1
Tyro3	-0.129927	0.912834
Mga	0.175529	0.797463
Mapkbp1	0.545027	0.0870767
Ganc	-0.44399	0.698205
Capn3	1.89783	1
Snap23	0.135758	0.868695
Haus2	0.000929074	0.998837
Tmem62	0.583237	0.255939
Ccndbp1	-0.119004	0.918277
Adal	-0.392493	0.64965
Tubgcp4	-0.197792	0.934649
Map1a	0.0901151	0.939245
Ckmt1	0.0651101	0.992015
Pdia3	0.0561756	0.975498
Serf2	-0.190005	0.747266
Hypk	-0.367717	0.325109
Wdr76	-0.0756689	0.979033
Casc4	0.00854072	0.995736
B2m	0.804829	0.00139332
Trim69	1.11135	1
Sord	0.196357	0.874466
Duox1	0.444034	1
Bloc1s6	-0.0187477	0.993849
Sqrdl	0.0133833	0.994961
Sema6d	-1.39406	0.00139332
Slc24a5	0.302426	0.992015
Dut	-0.242393	0.647221
Eid1	0.27274	0.507432
Galk2	-0.0536622	0.993096
Fgf7	0.552571	0.100833
Dtwd1	0.034485	0.992001
Slc27a2	-0.293986	1
Usp8	0.00954468	0.995582
Ap4e1	0.0416399	0.984602
Blvra	0.0571553	0.979033
Snrnp200	0.0232908	0.991119
Tmem127	0.106805	0.899745
Stard7	-0.153061	0.83383
Dusp2	-0.464287	0.846349
Gpat2	-0.832348	0.477832
Mrps5	0.0551019	0.978858
